indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PAGC61042_S41	SUPER__10	1	84231690	12918983	82996691	98.5338	21.9889	36.4	54.3
PAGC61042_S41	SUPER__11	1	83622935	13064775	82621443	98.8024	22.3083	36.3	54.1
PAGC61042_S41	SUPER__12	1	81635540	12738500	80522116	98.6361	22.4563	36.4	52.9
PAGC61042_S41	SUPER__13	1	72972725	11060876	71699528	98.2552	21.7672	36.4	51.2
PAGC61042_S41	SUPER__14	1	61507012	9260386	59524723	96.7771	21.0957	36.2	50.7
PAGC61042_S41	SUPER__15	1	60856427	9517217	60261843	99.023	22.3807	36.3	54.9
PAGC61042_S41	SUPER__16	1	55580494	8649208	55264868	99.4321	22.3268	36.4	56.2
PAGC61042_S41	SUPER__17	1	54681234	8198997	53445291	97.7397	21.4426	36.3	54.1
PAGC61042_S41	SUPER__18	1	52719951	8061152	52226872	99.0647	21.9634	36.4	56.1
PAGC61042_S41	SUPER__19	1	43711415	6715491	43238746	98.9187	22.0619	36.4	56.1
PAGC61042_S41	SUPER__20	1	28462450	4411357	28190164	99.0434	22.1504	36.3	55
PAGC61042_S41	SUPER__21	1	25775296	3223579	23612975	91.6109	17.725	36.3	36.8
PAGC61042_S41	SUPER__22	1	17753772	2691664	17515274	98.6566	21.4748	36.3	54.1
PAGC61042_S41	SUPER__23	1	2327365	368005	2305032	99.0404	22.5269	36.2	54.5
PAGC61046_S42	SUPER__1	1	244374582	43603048	240392798	98.3706	25.5947	36.2	52.9
PAGC61046_S42	SUPER__2	1	212563729	39977333	210778226	99.16	26.9094	36.2	54.8
PAGC61046_S42	SUPER__3	1	211792393	39802937	209962828	99.1362	26.9079	36.2	54.3
PAGC61046_S42	SUPER__4	1	121730464	12469058	119776771	98.3951	14.4344	36.1	49.3
PAGC61046_S42	SUPER__5	1	113776203	20490037	111289336	97.8142	25.8054	36.2	54
PAGC61046_S42	SUPER__6	1	111457381	21083912	110798102	99.4085	27.1811	36.2	55.8
PAGC61046_S42	SUPER__7	1	98951147	18397355	97538425	98.5723	26.6565	36.2	55.2
PAGC61046_S42	SUPER__8	1	93510542	17514587	92758904	99.1962	26.961	36.2	55.3
PAGC61046_S42	SUPER__9	1	91912741	17157460	91118741	99.1361	26.8374	36.2	56.1
PAGC61046_S42	SUPER__10	1	84231690	15691648	83035520	98.5799	26.6765	36.2	54.3
PAGC61046_S42	SUPER__11	1	83622935	15961313	82736496	98.94	27.2219	36.1	54
